	E.CON	NEG.CON	NEG.CON2	ExN.Nereotest.ExN.1	ExN.Nereotest.ExN.2	ExN.Nereotest.ExN.3	ExN.Nereotest.ExN.4	ExN.Nereotest.ExN.5	ExN.Nereotest.Nereo.1	ExN.Nereotest.Nereo.2	ExN.Nereotest.Nereo.3	ExN.Nereotest.Nereo.4	ExN.Nereotest.Nereo.5	ExN.Nereotest.Mast.1	ExN.Nereotest.Mast.2	ExN.Nereotest.Mast.3	ExN.Nereotest.Mast.4	ExN.Nereotest.Mast.5	ExN.Nereotest.NereoMast.1	ExN.Nereotest.NereoMast.2	ExN.Nereotest.NereoMast.3	ExN.Nereotest.NereoMast.4	ExN.Nereotest.NereoMast.5	Nereo.Loneincube.Nereo.1	Nereo.Loneincube.Nereo.2	Nereo.Loneincube.Nereo.3	Nereo.Loneincube.Nereo.4	Nereo.Loneincube.Nereo.5	Mast.Loneincube.Mast.1	Mast.Loneincube.Mast.2	Mast.Loneincube.Mast.3	Mast.Loneincube.Mast.4	Mast.Loneincube.Mast.5	Water.Nereotest.H2O.1	Water.Nereotest.H2O.2	Water.Nereotest.H2O.3	Water.Nereotest.H2O.4	Water.Nereotest.H2O.5	Water.Nereotest.ExN.1	Water.Nereotest.ExN.2	Water.Nereotest.ExN.3	Water.Nereotest.ExN.4	Water.Nereotest.ExN.5	Water.Nereotest.Nereo.1	Water.Nereotest.Nereo.2	Water.Nereotest.Nereo.3	Water.Nereotest.Nereo.4	Water.Nereotest.Nereo.5	Water.Nereotest.Mast.1	Water.Nereotest.Mast.2	Water.Nereotest.Mast.3	Water.Nereotest.Mast.4	Water.Nereotest.Mast.5	Water.Nereotest.NereoMast.1	Water.Nereotest.NereoMast.2	Water.Nereotest.NereoMast.3	Water.Nereotest.NereoMast.4	Water.Nereotest.NereoMast.5	YoungNereo.Environmental.Brockton.1	YoungNereo.Environmental.Brockton.2	YoungNereo.Environmental.Brockton.3	YoungNereo.Environmental.Brockton.4	YoungNereo.Environmental.Brockton.5	OldNereo.Environmental.Brockton.1	OldNereo.Environmental.Brockton.2	OldNereo.Environmental.Brockton.3	OldNereo.Environmental.Brockton.4	OldNereo.Environmental.Brockton.5	water.Loneincube.Mast.1	water.Loneincube.Mast.2	water.Loneincube.Mast.3	water.Loneincube.Mast.4	water.Loneincube.Mast.5	water.Loneincube.Nereo.1	water.Loneincube.Nereo.2	water.Loneincube.Nereo.3	water.Loneincube.Nereo.4	Mast.Environmental.Brockton.1	Mast.Environmental.Brockton.2	Mast.Environmental.Brockton.3	Mast.Environmental.Brockton.4	Mast.Environmental.Brockton.5	Nereocystis.Environmental.StarfishInner.1	Nereocystis.Environmental.StarfishInner.2	Nereocystis.Environmental.StarfishInner.3	Nereocystis.Environmental.StarfishInner.4	Nereocystis.Environmental.StarfishOuter2.1	Nereocystis.Environmental.StarfishOuter3.2	Nereocystis.Environmental.StarfishOuter4.3	Nereocystis.Environmental.StarfishOuter5.4	Water.Environmental.StarfishInner.1	Water.Environmental.StarfishInner.2	Water.Environmental.StarfishInner.3	Water.Environmental.StarfishOuter.1	Water.Environmental.StarfishOuter.2	Water.Environmental.StarfishOuter.3	taxonomy
15985	8	0	0	8	140	4359	0	777	6	76	18	24	484	34	14	269	26	1	90	374	4	34	71	341	1278	818	647	20	0	0	23	0	1	2	21	0	1	0	6	1	19	5	25	8	352	27	311	51	11	3	7	11	15	21	141	82	89	17	184	2	11	9	229	7	2	1	5	4	0	3	0	0	3	5	0	1	6	0	0	0	0	0	0	0	2	1	2	2	0	0	0	0	0	0	15	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Dokdonia
19378	1	3	0	0	11	41	7	43	22	8	15	2	33	3	1	79	15	0	158	86	3	5	30	31	6	20	12	0	11	9	36	7	11	0	0	0	0	0	0	0	4	1	0	34	30	11	21	30	0	0	4	4	1	2	9	7	2	1	16	71	45	49	14	755	1561	304	5	27	0	2	0	0	0	2	1	4	6	7	0	5	2	0	7	67	482	1627	864	4603	297	35	0	0	12	0	3	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __Litorimonas
5286	0	0	0	1	13	7	0	0	0	56	0	20	2	0	6	9	0	0	3	4	0	3	14	0	0	0	1	0	0	0	0	0	0	577	1327	0	323	708	434	842	522	395	611	380	1401	1	1679	440	9	116	134	88	188	4	401	54	79	191	0	0	0	0	0	0	0	0	0	7	0	2	2	0	16	4	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rickettsiales; __Mitochondria; __Mitochondria; __uncultured_bacterium
21410	5	0	1	10	117	4605	1	755	11	70	8	41	527	27	30	184	33	6	137	258	6	28	48	264	1098	712	573	17	18	52	41	12	26	0	5	0	1	0	7	5	14	7	29	9	268	11	296	68	6	9	19	14	5	24	158	74	108	28	121	7	6	9	227	8	0	1	2	3	1	4	0	0	4	17	0	1	4	1	2	12	4	35	1	0	6	2	0	5	0	3	0	1	1	2	4	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Dokdonia; __uncultured_bacterium
7698	0	1	0	1	0	0	0	0	1	2	0	0	5	0	2	0	1	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	808	1651	0	380	2047	380	707	135	1301	1225	288	37	0	6	443	11	223	24	91	110	1	14	12	2	1	0	0	0	0	0	0	0	0	0	9	0	222	10	1	0	2	0	0	463	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	22	0	2	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Rhodospirillaceae; __uncultured; __uncultured_bacterium
22521	0	5	0	0	0	0	0	0	0	0	1	0	27	0	11	0	4	0	3	0	0	0	0	0	0	0	1	0	12	1	8	1	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	8	0	1547	1070	1511	1	143	0	17	0	10	0	0	34	0	0	0	0	4	0	7	1737	3358	1038	78	0	0	0	2	0	0	0	0	1	0	0	5	5	2	5	8	0	4	22	0	10	0	1	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Glaciecola; __uncultured_bacterium
21931	25	0	0	0	0	46	30	149	295	406	306	54	56	0	9	3	1	0	3	204	1	57	19	1427	301	567	334	10	2	1	15	4	0	0	1	0	0	0	1	1	2	0	0	186	42	0	18	43	4	3	0	1	0	8	6	6	14	6	0	53	14	6	9	2796	1556	898	66	29	0	0	0	0	21	20	0	1	7	1	0	0	3	0	0	0	37	3	4	7	3	0	0	4	9	0	10	0	Bacteria; __Planctomycetes; __Planctomycetacia; __Planctomycetales; __Planctomycetaceae; __Blastopirellula; __uncultured_planctomycete
11630	86	95	126	148	5	18	29	79	170	118	171	242	25	26	232	98	219	43	49	141	100	113	162	51	108	16	32	177	125	48	69	76	85	62	47	190	146	76	31	77	233	51	6	24	15	325	25	10	169	31	18	25	23	116	38	35	23	13	39	211	63	34	37	42	45	41	146	157	151	41	180	136	153	105	144	200	205	259	144	194	169	98	162	161	47	43	57	55	69	298	161	195	92	211	98	252	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Pseudomonadaceae; __Pseudomonas
2857	0	3	0	16	168	242	40	323	6	316	92	452	230	3	882	1890	996	224	157	60	19	636	757	3	6	0	7	0	7	0	14	0	1	64	100	1	1	122	38	16	28	204	78	66	39	3	46	68	0	188	288	22	204	138	110	164	14	46	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	0	1	6	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	7	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Alcanivoracaceae; __Kangiella; __uncultured_bacterium
9358	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	1	3	1	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	461	2264	516	1092	4189	697	330	0	0	12	0	2	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Chromatiales; __Granulosicoccaceae; __Granulosicoccus; __uncultured_bacterium
11828	0	2	0	11	5	6	24	58	1	16	73	10	2	0	5	17	47	1	359	2	6	3	23	0	0	0	2	0	0	0	1	0	0	872	66	1	9	2376	7	4	0	2677	697	116	14	0	7	20	8	230	149	39	240	260	91	193	17	30	0	0	1	0	0	0	0	0	0	7	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Oceanospirillaceae; __Oceanobacter; __uncultured_gamma_proteobacterium
19124	1	0	0	2	1	182	1	1330	30	2851	296	97	71	3	3	37	9	0	1	460	1	209	73	109	144	118	535	11	0	0	1	0	2	0	2	0	0	0	0	0	0	2	2	333	383	41	22	23	3	3	2	14	2	5	87	28	27	7	1	6	9	1	0	27	258	41	16	16	0	1	0	0	159	46	1	46	48	0	0	0	0	0	0	0	0	0	61	3	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __Litorimonas
21445	1	0	0	12	48	3765	6	83	18	80	24	85	420	0	6	27	50	0	11	43	0	4	47	41	131	64	526	18	1	0	5	1	1	0	12	0	0	0	8	1	13	12	3	152	732	34	184	97	0	7	0	18	1	4	16	27	2	1	31	59	43	29	5	102	40	36	1	206	0	0	0	0	30	2	1	3	29	0	0	0	0	0	0	0	340	1	31	1	11	3	0	0	2	0	10	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __uncultured; __unidentified_eubacterium_SCB49
18699	0	0	0	72	4	34	5	125	0	194	452	90	12	0	7	81	255	10	771	13	198	74	361	9	10	7	5	4	4	3	0	83	3	11	22	0	14	6	1	1	2	10	33	19	73	22	367	29	3	179	60	48	15	607	22	276	33	2683	3	63	36	38	8	18	14	7	0	10	0	12	0	1	22	8	7	1	1	10	18	6	14	11	0	43	65	15	11	8	6	12	2	47	6	10	2	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Pseudoalteromonadaceae; __Pseudoalteromonas
21961	66	0	0	0	1	44	14	23	9	15	13	6	120	0	2	22	10	0	8	30	0	7	3	4184	16	22	142	0	0	0	37	2	1	0	6	0	0	0	3	0	1	0	0	13	14	2	10	56	0	1	0	0	1	18	6	27	0	2	0	22	12	3	5	322	568	512	106	229	0	0	0	0	0	1	0	4	7	0	1	0	0	0	14	12	180	38	13	97	624	58	0	0	9	0	10	0	Bacteria; __Planctomycetes; __Planctomycetacia; __Planctomycetales; __Planctomycetaceae; __Blastopirellula; __uncultured_planctomycete
12614	36	2	0	2	194	20	2	23	4	33	10	8	109	0	10	1	14	0	13	16	0	34	14	1328	5	4	1	0	1	2	21	45	3	130	954	0	1	62	108	110	44	35	364	1654	1005	43	269	246	0	18	15	87	18	17	39	5	264	60	0	0	0	0	1	2	0	1	19	1	0	0	0	0	3	243	0	0	0	21	2	2	2	1	5	0	2	1	0	0	0	0	0	0	0	0	3	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Oceanibulbus
13979	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	2	0	0	139	2	5	0	2	8	1	7	16	4	0	0	5	0	0	1	0	0	0	0	42	5	1	4	2	1	23	8	171	31	7	48	24	14	36	0	3	2	0	1	2	1	2	4	0	1	462	1	118	118	5871	34	77	1	0	1	10	0	1	92	0	0	0	0	0	0	1	0	13	9	16	106	0	Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast; __uncultured_bacterium
14002	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	77	167	73	690	172	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	21	12	3	8	1	4	10	1	3	0	22	2	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	145	19	307	27	5937	0	0	0	0	0	0	0	0	1	0	0	0	2	0	Bacteria; __Cyanobacteria; __Cyanobacteria; __SubsectionII; __FamilyII; __Pleurocapsa; __uncultured_bacterium
12484	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	32	0	0	1	4	0	0	0	2	0	886	887	1198	783	2373	0	0	0	0	0	0	0	0	1	0	0	1	0	0	7	0	134	175	243	251	15	23	34	18	18	0	4	1	0	0	0	0	0	0	26	1	28	5	2	0	0	0	0	1	54	42	124	0	18	0	0	1	0	0	0	0	0	0	0	0	0	14	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __uncultured
9399	2	3	0	4	34	44	5	40	1	55	2	20	46	2	2	14	10	0	14	7	2	11	2	85	15	1	99	1	0	3	1	0	0	503	1686	0	70	52	661	53	81	146	871	359	806	33	304	478	0	142	127	53	80	45	120	66	26	28	0	0	1	0	0	0	0	1	1	8	2	0	0	0	31	26	0	0	61	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	1	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Thiotrichales; __Piscirickettsiaceae; __Methylophaga; __uncultured_Methylophaga_sp.
891	0	0	0	98	426	49	4	7	0	100	9	52	41	0	67	28	55	89	6	980	598	56	3144	1	2	55	33	1	0	3	1	0	1	0	0	0	0	0	2	12	0	0	2	2	33	1	48	24	4	18	3	13	2	1	199	423	33	42	2	0	23	0	0	0	1	0	0	1	0	0	0	1	8	3	33	12	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __uncultured; __uncultured_bacterium
9892	3	0	0	11	0	9	3	2	3	433	5	280	268	0	9	6	57	0	18	4	0	17	72	156	442	98	62	5	49	2	14	4	5	2	6	0	0	0	1	2	3	6	5	157	49	143	769	145	2	4	4	3	5	381	73	367	6	170	0	39	14	15	2	4	1	14	2	1	4	2	0	0	870	1192	12	395	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __uncultured; __uncultured_bacterium
11482	1	1	0	1	0	386	14	1	45	100	1170	6	50	0	27	40	5	1	10	19	0	0	41	151	80	45	31	7	15	0	11	4	0	0	1	0	0	0	0	0	0	0	0	65	5	12	7	1	1	1	0	0	0	0	3	12	0	1	39	258	89	30	31	124	56	465	30	11	0	0	0	0	1	12	1	0	4	0	1	2	0	0	1	596	4	4	725	289	848	1020	0	0	17	0	9	0	Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast; __Ectocarpus_siliculosus
4999	0	0	0	10	6	5	0	0	0	0	0	2	6	0	1	0	3	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	162	3769	0	34	12	469	1338	3	137	9	5	1	13	163	148	0	13	0	32	0	0	2	6	0	12	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	136	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	Unassigned
13790	4	0	0	9	0	1	22	5	1	57	0	0	22	0	0	0	6	0	3	67	0	2	6	221	137	85	60	3	17	0	7	2	0	1	1	0	0	0	49	87	8	31	128	143	1764	0	2	220	1	3	0	83	89	17	1298	12	55	27	0	77	42	7	10	163	206	524	41	16	283	0	0	0	27	141	0	36	21	7	1	10	6	9	1	1	32	0	0	0	3	0	1	0	11	0	9	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
7141	0	0	0	0	0	0	68	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	4	0	1	22	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	10	8	0	10	3	0	0	0	1	0	1	2	1	0	2	4	81	45	4	3	2139	1490	1977	70	2	0	0	0	0	0	3	0	0	19	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	15	0	17	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __Lewinella; __uncultured_bacterium
8987	2	2	0	18	50	45	0	27	2	8	0	12	16	1	4	18	27	0	36	36	1	30	12	171	32	30	76	1	16	26	73	109	302	101	440	0	23	76	894	77	86	64	536	102	230	23	142	141	13	154	312	102	734	121	207	105	288	38	0	0	0	0	0	0	0	2	5	7	4	81	0	4	21	16	0	2	57	0	0	1	3	0	1	0	0	0	0	0	0	0	1	0	3	0	2	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __uncultured; __uncultured_bacterium
21184	1	0	0	1	7	7	1	0	2	19	0	3	48	0	2	19	11	1	65	32	2	101	12	85	85	28	16	0	18	12	39	69	34	1	2	0	0	0	11	8	1	19	7	140	52	1	34	160	7	299	788	278	576	251	480	941	319	282	0	13	7	0	0	1	1	7	1	17	258	409	10	1	32	57	0	26	1	5	2	4	1	1	0	0	2	0	0	0	0	0	0	0	2	0	1	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Polaribacter_4
13128	11	0	0	0	1	412	5	19	0	83	19	36	461	0	0	45	3	0	16	39	0	7	11	608	1031	53	765	22	0	0	25	0	1	0	0	0	0	0	0	1	4	0	0	4	24	1	6	30	4	0	0	0	0	25	6	29	2	7	18	109	50	4	36	168	96	57	8	243	0	0	0	0	6	0	0	0	2	0	0	0	0	0	3	1	717	11	15	157	347	17	0	0	1	0	7	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __uncultured
3055	1	1	0	0	0	1	4	2	2	44	2	5	0	0	16	1	4	0	4	31	0	29	10	9	13	1277	56	0	54	70	308	134	211	0	0	0	0	0	0	1	0	0	0	5	9	0	3	0	3	28	12	13	26	10	13	8	14	8	1	33	3	1	0	145	2360	98	50	4	1	5	0	0	0	1	0	3	1	42	44	165	103	11	0	3	53	1	5	20	0	5	0	0	1	0	3	0	Bacteria; __Actinobacteria; __Acidimicrobiia; __Acidimicrobiales; __uncultured; __uncultured; __uncultured_bacterium
8717	12	0	0	1	15	731	3	3	8	37	12	11	283	1	34	177	15	0	29	408	1	1019	26	783	75	695	70	3	7	5	13	60	8	0	0	0	0	0	1	1	1	1	6	18	110	2	66	55	2	0	5	5	6	9	46	14	78	8	72	55	11	16	86	24	23	54	15	9	0	1	0	0	14	127	0	37	7	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae
8641	40	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	2	0	0	1	9	2566	58	960	1	0	0	0	21	6	0	0	0	0	0	0	1	1	0	1	0	14	1	23	7	5	0	1	2	1	0	40	0	3	1	1	0	6	4	2	0	1	0	22	20	1	0	0	0	0	22	808	0	888	1	4	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Pontivivens
16803	10	1	0	1	0	1	0	1	0	0	0	0	0	0	6	10	1	0	125	126	1	9	6	545	78	156	2	1	66	636	560	739	417	0	2	0	0	1	1	1	0	1	1	2	2	0	6	12	1	142	127	126	99	64	358	143	165	82	0	5	0	0	0	0	0	0	9	20	2	66	2	5	3	100	0	22	1	37	17	194	44	1	1	0	0	0	0	0	0	0	0	0	0	0	7	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Maribacter
16347	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	32	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	0	4870	1	0	1	0	32	0	290	0	0	1	0	0	0	0	0	0	45	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Flavicella; __uncultured_bacterium
12020	0	6	0	1	0	0	0	0	0	1	0	0	0	0	0	1	3	1	13	3	0	0	0	6	2	5	0	0	2	17	23	5	39	0	2	0	0	0	1	3	0	0	0	0	1	0	0	3	7	797	476	3244	324	3	46	34	14	9	0	0	0	0	0	0	0	0	0	3	2	81	11	13	0	0	0	0	0	0	2	6	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Winogradskyella
14646	4	0	0	2	1	9	0	2	18	89	5	9	220	0	0	1	7	0	59	36	0	202	10	253	238	147	84	1	17	3	6	1	4	0	2	0	0	1	0	0	6	7	17	374	163	0	98	496	1	15	7	7	13	333	525	1230	293	100	1	1	5	2	2	0	0	7	2	11	0	1	0	0	28	160	1	59	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Polaribacter_4
11481	0	1	0	19	3	68	54	69	5	74	40	58	19	2	37	62	223	26	7	160	13	14	1334	18	0	1	1	5	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	0	1	3	0	0	20	85	1323	195	84	544	36	93	104	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	52	34	31	36	96	65	51	1	0	2	0	0	0	Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast
6052	0	1	0	10	232	148	2	51	0	155	2	23	34	0	1	3	14	0	38	23	3	3	8	7	11	0	47	0	0	0	1	0	0	403	1408	0	46	230	189	70	36	284	393	155	370	4	52	66	2	95	63	89	131	42	30	200	59	9	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Oceanospirillaceae; __Neptuniibacter
21509	7	0	0	0	0	0	10	12	1	20	1	0	0	0	1	3	0	0	0	3	0	0	0	294	4	25	107	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	1	0	1	0	0	1	1	0	1	0	2	6	40	39	7	7	3162	72	353	25	41	0	0	0	0	0	31	0	1	5	0	0	0	0	0	2	13	970	3	0	0	0	0	0	0	4	0	3	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Dokdonia; __Dokdonia_genika
21510	11	0	0	0	0	392	8	72	4	306	5	100	143	1	3	7	58	16	20	347	0	26	9	737	145	294	337	10	13	2	23	12	9	0	17	0	0	0	0	0	2	0	30	272	215	9	91	51	1	7	7	10	8	38	44	58	24	12	36	70	47	18	2	241	53	413	26	30	0	1	0	0	72	58	1	7	38	26	4	2	1	1	0	0	0	0	0	2	3	0	0	0	7	0	6	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Dokdonia
20183	8	1	0	1	23	504	9	6	5	49	6	6	95	6	12	42	12	0	294	85	3	7	225	382	80	126	13	4	0	0	12	0	1	0	7	0	0	0	5	0	0	2	12	3	217	63	175	40	1	5	8	5	8	23	20	15	20	5	379	130	208	134	327	448	211	423	19	21	0	0	0	0	36	55	0	10	7	0	0	0	0	0	1	0	7	0	20	0	6	0	0	0	5	0	3	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter
13544	0	2	0	6	760	62	17	3	0	4	1	3	3	0	5	8	32	3	120	17	0	13	37	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	67	47	24	12	20	2	29	0	1	7	0	0	13	5	67	1	42	2	262	6	508	119	282	261	916	11	9	110	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	34	22	70	116	138	237	44	38	0	0	1	0	1	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
8862	0	0	0	1	14	53	0	20	0	5	0	10	22	0	0	2	1	2	1	2	0	3	1	0	0	0	10	0	0	0	0	0	2	846	219	0	68	131	108	26	122	965	606	31	105	3	85	754	3	104	45	30	433	3	108	26	9	7	0	0	0	0	0	0	0	0	0	8	0	3	0	0	5	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __Maricaulis
277	0	0	0	13	42	50	2	50	1	6	9	20	72	2	2	24	33	0	51	119	122	165	16	11	27	1	341	0	4	3	6	4	14	144	98	0	24	36	367	20	64	108	171	386	126	42	271	251	1	120	154	28	130	491	228	231	113	52	0	0	0	1	1	0	0	3	0	5	1	12	2	1	27	11	10	5	37	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Phyllobacteriaceae; __Hoeflea
16630	3	1	0	1	55	30	2	14	0	7	13	7	66	0	1	5	4	0	23	39	1	18	2	265	112	36	18	0	0	0	4	0	21	52	333	0	14	31	213	42	49	62	254	300	218	74	164	371	2	260	71	184	287	55	270	378	143	43	0	0	0	0	0	0	0	0	5	0	0	1	0	0	25	72	1	3	12	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Muricauda
14453	0	0	0	1	13	1289	3	1031	13	720	84	54	64	0	18	12	3	0	10	223	0	110	19	122	83	224	238	16	83	2	28	14	7	0	0	0	0	0	0	0	1	0	1	13	37	0	6	13	3	10	19	5	13	2	8	11	35	8	0	1	5	5	0	233	86	8	2	2	0	5	0	0	14	8	0	2	2	1	1	1	1	0	0	0	2	0	0	4	1	0	0	0	0	0	1	0	Bacteria; __Planctomycetes; __Planctomycetacia; __Planctomycetales; __Planctomycetaceae; __Planctomyces; __uncultured_Planctomycetaceae_bacterium
19817	0	0	0	0	0	26	0	0	0	6	1	4	6	0	0	1	6	0	0	3	2	16	27	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	7	96	0	64	56	4	498	409	1	4	5	3	1	171	110	1811	53	1471	0	38	15	0	0	3	1	19	0	2	0	3	0	0	8	3	1	1	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Flavicella; __uncultured_bacterium
5265	0	0	0	17	12	17	3	2	0	804	12	2	58	0	2	257	74	2	4	210	52	68	56	4	10	103	4	8	0	0	0	0	0	0	1	0	0	0	1	3	0	16	8	0	251	10	83	292	2	1	29	16	6	2	1307	59	80	58	4	1	1	4	0	0	0	0	0	5	0	0	0	0	414	4	3	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Paraglaciecola; __uncultured_bacterium
